touchpoint,avg_score_all,avg_score_satisfied,avg_score_not_satisfied,gap_sat_minus_not
Online boarding,3.261664613489375,4.019468560905025,2.668702394839772,1.3507661660652532
Inflight entertainment,3.3577533107483832,3.9613259668508287,2.88547313525012,1.0758528316007085
Seat comfort,3.4492223591007085,3.965973866526353,3.04487751320936,0.9210963533169929
Cleanliness,3.28622574684324,3.7550644567219154,2.919371440334866,0.8356930163870495
On-board service,3.3856636895595935,3.8516179952644043,3.0210663555891033,0.830551639675301
Leg room service,3.3501693871265785,3.8118039112514253,2.9889521718246073,0.822851739426818
Inflight wifi service,2.7247459193101324,3.1480312198544245,2.3935359912166336,0.7544952286377908
Checkin service,3.3141746227286726,3.6607033236867492,3.043024771838331,0.6176785518484182
Baggage handling,3.633238373883585,3.9689555380163113,3.370548274205723,0.5984072638105884
Inflight service,3.649253156760086,3.9770235902832587,3.392781170658066,0.5842424196251925
Food and drink,3.2153526331998767,3.541787248969569,2.959925890345159,0.5818613586244101
Ease of Online booking,2.756775485063135,3.0086819258089976,2.5596651341521994,0.4490167916567982
Gate location,2.977094240837696,2.9529948259230028,2.9959514170040484,-0.04295659108104566
Departure/Arrival time convenient,3.0468124422543887,2.9344909234411998,3.1347011596788583,-0.20021023623765855
